firm_name,firm_website,challenge_name,markets,account_size,price,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,leverage,refund_policy,country_restrictions,phases,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence,status
Blueberry Futures,,1-Step 50K,futures,50000,$99.00,USD,6,5,,eod_trailing,,,,90,Payout frequency: On Demand,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,,allowed,required,40,https://propfirmmatch.com/futures/prop-firm-challenges,aggregator_unverified,needs_review,draft
FundedNext,,Stellar 1-Step 100K,forex;crypto;cfd,100000,$362.95,USD,10,6,3,static,,,7,80,,MT4;MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
FundingPips,,1 Step Flex 100K,forex;crypto;cfd,100000,$422.40,USD,12,12,3,static,,,14,85,,MT5;cTrader,1:100,,,1,restricted,allowed,restricted,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
The5ers,,2-Step 100K,forex;cfd,100000,$517.75,USD,8,10,5,static,,,14,80,,MT5,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
BrightFunded,,1-Step 100K,forex;crypto;cfd,100000,$399.00,USD,10,10,5,static,,,,80,Payout frequency: On Demand,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,allowed,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
E8 Markets,,E8 One 100K,forex;crypto;cfd,100000,$379.05,USD,9,6,4,trailing,,,,80,Payout frequency: On Demand,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,allowed,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Alpha Capital,,Alpha One 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Crypto Fund Trader,,Accelerated 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Hola Prime,,1-Step 100K,forex;crypto;cfd,100000,$379.05,USD,10,10,5,static,,,,80,Payout frequency: On Demand,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,allowed,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Goat Funded Trader,,1-Step 100K,forex;crypto;cfd,100000,$379.05,USD,10,10,5,static,,,,80,Payout frequency: On Demand,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,allowed,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Trade The Pool,,1-Step 100K,cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Blue Guardian,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Moneta Funded,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
FundedElite,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Maven,,Standard 1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Finotive Funding,,Instant 100K,forex;crypto;cfd,100000,$599.00,USD,,10,5,trailing,,,14,80,,MT5;cTrader,1:100,,,0,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Audacity Capital,,1-Step 100K,forex;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
For Traders,,2-Step 100K,forex;crypto;cfd,100000,$434.00,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Instant Funding,,Instant 100K,forex;crypto;cfd,100000,$599.00,USD,,10,5,trailing,,,14,80,,MT5;cTrader,1:100,,,0,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Fintokei,,2-Step 100K,forex;crypto;cfd,100000,$549.00,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
WSFunded,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Orion Funded,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
ThinkCapital,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
BEM Funding,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Top One Trader,,1-Step 100K,forex;crypto;cfd,100000,$422.40,USD,10,10,5,static,,,14,80,,MT5;cTrader,1:100,,,1,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
The Trading Pit,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
City Traders Imperium,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Hantec Trader,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
Lark Funding,,2-Step 100K,forex;crypto;cfd,100000,$422.40,USD,8,10,5,static,,,14,80,,MT5;cTrader,1:100,,,2,restricted,allowed,allowed,restricted,prohibited,,allowed,unknown,,https://propfirmmatch.com/prop-firm-challenges,aggregator_unverified,needs_review,draft
